userName,content,score
Pengguna Google,Senang sekali,5
Pengguna Google,Kode referal di input dimana ini hmm tidak ada kolom buat di isi.,3
Pengguna Google,Good,5
Pengguna Google,Oke lah,5
Pengguna Google,Okeee,5
Pengguna Google,Ok,5
Pengguna Google,Mantap,5
Pengguna Google,Good,5
Pengguna Google,Aplikasinya tambah ribet,4
Pengguna Google,Poin saya angus:(:( dan buat input kode di mana ya?,1
Pengguna Google,Mantul,5
Pengguna Google,Mantap,5
Pengguna Google,"Mantapp, point yang lama tidak hilang dengan memasukkan no HP dan PIN yg sebelumnya yaa",5
Pengguna Google,Mantap,5
Pengguna Google,"Bagi saya menguntungkan, karena setiap pembelian dapet pionnya",5
Pengguna Google,"Saya kasih bintang 1 aja...Jangan banyak2 kasih bintangnya, ntar muntah...Ga jelassssssss....Kode referal dimasukkan dimana?????",1
Pengguna Google,Bagus aja,5
Pengguna Google,Masukin Kode Referal ga ada? Aplikasi Fore Coffee msh lbh unggul&bnyak promo,1
Pengguna Google,Okelah,5
Pengguna Google,Mantap,5
Pengguna Google,Sangat bagus,5
Pengguna Google,Ok,4
Pengguna Google,Kalo kopi kenangan harga kaki 5 rasa bintang 5 🤗,5
Pengguna Google,GK ADA TOMBOL KELUAR AKUN !!! REFERRAL TARUH DIMANA?,1
Pengguna Google,Jelek amat ni aplikasi baru nya kalau mau buka harus apdate,1
Pengguna Google,Oke,5
Pengguna Google,Sangat ceoet order pake aplikasi,5
Pengguna Google,Oke mantap.,5
Pengguna Google,Aplikasi taiiiiii,1
Pengguna Google,Bagusan yg lama,2
Pengguna Google,Oke,5
Pengguna Google,Good,5
Pengguna Google,Masih harus diupadate. Scan QR masih cooming soon.,1
Pengguna Google,Baru abdet,5
Pengguna Google,"Top banget kopi nya, murah tapi Berkelas sepeti bintang 5 kopi nya👍👍",5
Pengguna Google,"Mantap pesan kopi musim hujan, joss",5
Pengguna Google,"Mantap kopinya. Harga lumayan terjangkau. Asyiknya juga dapet poin yg bisa ditukar. User friendly, tinggal duduk santai tidak perlu antri sudah dapat kopi.",5
Pengguna Google,"App'nya bagus sih, sangat membantu buat yang mau beli tanpa harus mengantri ❤",5
Pengguna Google,"Seneng sih adanya aplikasi ini jadi bisa langsung pesen kopi disini, dan ada bonusnya juga, love banget deh sama kopi kenangan 😁",5
Pengguna Google,Mantap banget sekarang ngantri gapake ribet untuk beli kopi,5
Pengguna Google,"Mantap abis pelayanannya, saya suka saya suka :)))",5
Pengguna Google,Lebih enak di sini di banding produk sebelah yuk buruan daftarkan diri anda mesen ga perlu ribet tinggal tap tap tap,5
Pengguna Google,Mantap dengan ada nyaa aplikasi ini memudahkan pemesanan nyaa,5
Pengguna Google,Ok,5
Pengguna Google,Nikmat kopinya harganya juga relatip terjangkau. Dan cara pake aplikasinya juga gak ribet pokonya asik bnget deh,5
Pengguna Google,"Keren udah ada aplikasinya, pesen kopi jadi lebih gampang, tinggal order dan tunggu di rumah, pokoknya mantap lah",5
Pengguna Google,"Wah mantap nich, kebetulan saya suka minum kopi",5
Pengguna Google,Mantappp kopinya,5
Pengguna Google,Mantap mengenang mantan,5
Pengguna Google,"Aplikasi nya sangat mempermudah untuk pesan kopi via online. Terimakasih, sangat worth it.",5
Pengguna Google,"Keren mantap, aplikasi bagus recomended banget",5
Pengguna Google,"Bagus mudah digunakan, banyak promonya dan pilihan menu lengkap.",5
Pengguna Google,Alah kentuttt.. Sblum update poin gue gope kurang.. Pas abis update poin gua jadi 300 Oke ga mslah gratisan Pas gua order pake poin Malah gopay gua ke sedot 52.000 Gedegin,1
Pengguna Google,Semoga terus berkembangan di dunia perkopian indonesia,5
Pengguna Google,Ok,5
Pengguna Google,Mantap skrg pesan kopi kenangan gak perlu antri lagi guys!,5
Pengguna Google,Ok,5
Pengguna Google,"mantul, membantu sekali buat pecinta kopii",5
Pengguna Google,Gabisa scan,1
Pengguna Google,Kopi yang sangat enak di coba Kopi terekomend untuk nongkrong Bisa mengakses lewat grab atau gojek Mantap,5
Pengguna Google,kopi nyaa mantapp punyaa eemang debest,5
Pengguna Google,Selalu suka sama kopi kenangan ini 🤤 selalu bikin ga moveon sama rasanya 🤤,5
Pengguna Google,"Kopinya enak, hargannya murah",5
Pengguna Google,"Memudahkan bgt, gak pake antri kalau mau pesan kopi, bisa semuanya dari aplikasi ini. Aplikasi yang rekomen 👍",5
